링크,제목,키워드,기관,카테고리목록
https://www.damoa.or.kr/main/cmf_video.php?no=4524,[2024 발달장애인용 신규 맞춤형 콘텐츠] 말과 몸으로 하는 감정 표현,감정,,요리/감정; 교육/감정; 안전/감정; 기타/감정; 생활정보/감정; 유튜브/감정; 직업/감정; 건강/감정; 부모교육 및 지원정책/감정; 우리들의 이야기/감정; 취미/감정
https://www.damoa.or.kr/main/cmf_video.php?no=2730,좋아하는 걸 말해 보아요 달콤한 초콜렛 난 정말 좋아~♬,,EBS,요리/감정; 교육/감정; 안전/감정; 기타/감정; 생활정보/감정; 유튜브/감정; 직업/감정; 건강/감정; 부모교육 및 지원정책/감정; 우리들의 이야기/감정; 취미/감정
https://www.damoa.or.kr/main/cmf_video.php?no=2728,눈물 뚝! 울지 말고 말해요,,EBS,요리/감정; 교육/감정; 안전/감정; 기타/감정; 생활정보/감정; 유튜브/감정; 직업/감정; 건강/감정; 부모교육 및 지원정책/감정; 우리들의 이야기/감정; 취미/감정
https://www.damoa.or.kr/main/cmf_video.php?no=2727,"힘이 나는 특별한 주문, 나는 내가 좋아요!",,EBS,요리/감정; 교육/감정; 안전/감정; 기타/감정; 생활정보/감정; 유튜브/감정; 직업/감정; 건강/감정; 부모교육 및 지원정책/감정; 우리들의 이야기/감정; 취미/감정
https://www.damoa.or.kr/main/cmf_video.php?no=2594,직업·취업정보 귀금속 공예사 이야기,,복지TV,요리/감정; 교육/감정; 안전/감정; 기타/감정; 생활정보/감정; 유튜브/감정; 직업/감정; 건강/감정; 부모교육 및 지원정책/감정; 우리들의 이야기/감정; 취미/감정
https://www.damoa.or.kr/main/cmf_video.php?no=2522,즐겁게 음악으로 표현해요,,EBS,요리/감정; 교육/감정; 안전/감정; 기타/감정; 생활정보/감정; 유튜브/감정; 직업/감정; 건강/감정; 부모교육 및 지원정책/감정; 우리들의 이야기/감정; 취미/감정
https://www.damoa.or.kr/main/cmf_video.php?no=2521,너무 너무 화날 때 이런 음악 어때 ?,,EBS,요리/감정; 교육/감정; 안전/감정; 기타/감정; 생활정보/감정; 유튜브/감정; 직업/감정; 건강/감정; 부모교육 및 지원정책/감정; 우리들의 이야기/감정; 취미/감정
https://www.damoa.or.kr/main/cmf_video.php?no=2519,귀여운 나만의 이모티콘 만들기,,EBS,요리/감정; 교육/감정; 안전/감정; 기타/감정; 생활정보/감정; 유튜브/감정; 직업/감정; 건강/감정; 부모교육 및 지원정책/감정; 우리들의 이야기/감정; 취미/감정
https://www.damoa.or.kr/main/cmf_video.php?no=2511,"으아아 화가 날 땐, 이렇게!",,EBS,요리/감정; 교육/감정; 안전/감정; 기타/감정; 생활정보/감정; 유튜브/감정; 직업/감정; 건강/감정; 부모교육 및 지원정책/감정; 우리들의 이야기/감정; 취미/감정
https://www.damoa.or.kr/main/cmf_video.php?no=168,지금 내 마음은 무슨 색일까 감정을 이해하고 표현하는 법,감정,시청자미디어재단,요리/감정; 교육/감정; 안전/감정; 기타/감정; 생활정보/감정; 유튜브/감정; 직업/감정; 건강/감정; 부모교육 및 지원정책/감정; 우리들의 이야기/감정; 취미/감정
https://www.damoa.or.kr/main/cmf_video.php?no=3884,상대방 감정을 인지하지 못하는것은 이것 때문이라고⁉️｜발달장애TV｜발달장애｜발달지연｜감정인지불능,감정,유튜브 채널 발달지연TV,요리/감정; 교육/감정; 안전/감정; 기타/감정; 생활정보/감정; 유튜브/감정; 직업/감정; 건강/감정; 부모교육 및 지원정책/감정; 우리들의 이야기/감정; 취미/감정
https://www.damoa.or.kr/main/cmf_video.php?no=2076,발달장애 및 지적장애 학생을 위한 감정이해하기 지도 프로그램,감정,유튜브 채널 발달장애소통과 지원 연구소,요리/감정; 교육/감정; 안전/감정; 기타/감정; 생활정보/감정; 유튜브/감정; 직업/감정; 건강/감정; 부모교육 및 지원정책/감정; 우리들의 이야기/감정; 취미/감정
https://www.damoa.or.kr/main/cmf_video.php?no=1525,발달장애 가족판 고민자랑: 부정적인 감정만 가득한 그런 사람이 나입니다. 힘든 딸 때문일까요?,감정,유튜브 채널 틈teum-관계를 트는 예술,요리/감정; 교육/감정; 안전/감정; 기타/감정; 생활정보/감정; 유튜브/감정; 직업/감정; 건강/감정; 부모교육 및 지원정책/감정; 우리들의 이야기/감정; 취미/감정
https://www.damoa.or.kr/main/cmf_video.php?no=4599,"[선물이벤트] 우리들의 블루스 한지민 언니 정은혜 작가 결혼 첫만남부터 결혼준비까지 '사랑한다면 이들처럼' | 정은혜, 조영남, 장차현실, 서동일 | 가족 사랑 결혼 삶 장애",결혼,유튜브 채널 세바시 강연 Sebasi Talk,건강/결혼; 부모교육 및 지원정책/결혼; 우리들의 이야기/결혼; 요리/결혼; 교육/결혼; 안전/결혼; 취미/결혼; 기타/결혼; 생활정보/결혼; 유튜브/결혼; 직업/결혼
https://www.damoa.or.kr/main/cmf_video.php?no=2574,지체장애 1급의 남편과 지적장애 3급 아내의 결혼 이야기,결혼,유튜브 채널 KTV국민방송,건강/결혼; 부모교육 및 지원정책/결혼; 우리들의 이야기/결혼; 요리/결혼; 교육/결혼; 안전/결혼; 취미/결혼; 기타/결혼; 생활정보/결혼; 유튜브/결혼; 직업/결혼
https://www.damoa.or.kr/main/cmf_video.php?no=2003,아이 기르기(자립생활 안내책 결혼하기 편),결혼,한국지적발달장애인복지협회,건강/결혼; 부모교육 및 지원정책/결혼; 우리들의 이야기/결혼; 요리/결혼; 교육/결혼; 안전/결혼; 취미/결혼; 기타/결혼; 생활정보/결혼; 유튜브/결혼; 직업/결혼
https://www.damoa.or.kr/main/cmf_video.php?no=2002,스킨십과 성관계(자립생활 안내책 결혼하기 편),결혼,한국지적발달장애인복지협회,건강/결혼; 부모교육 및 지원정책/결혼; 우리들의 이야기/결혼; 요리/결혼; 교육/결혼; 안전/결혼; 취미/결혼; 기타/결혼; 생활정보/결혼; 유튜브/결혼; 직업/결혼
https://www.damoa.or.kr/main/cmf_video.php?no=2001,결혼하기(자립생활 안내책 결혼하기 편),결혼,한국지적발달장애인복지협회,건강/결혼; 부모교육 및 지원정책/결혼; 우리들의 이야기/결혼; 요리/결혼; 교육/결혼; 안전/결혼; 취미/결혼; 기타/결혼; 생활정보/결혼; 유튜브/결혼; 직업/결혼
https://www.damoa.or.kr/main/cmf_video.php?no=2000,데이트하기(자립생활 안내책 결혼하기 편),결혼,한국지적발달장애인,교육/데이트하기; 요리/데이트하기; 부모교육 및 지원정책/연애; 기타/결혼; 취미/연애; 기타/관계맺기; 유튜브/연애; 생활정보/연애; 직업/연애; 부모교육 및 지원정책/결혼; 안전/데이트하기; 부모교육 및 지원정책/관계맺기; 건강/연애; 취미/결혼; 취미/관계맺기; 교육/연애; 우리들의 이야기/연애; 생활정보/결혼; 요리/연애; 유튜브/결혼; 유튜브/관계맺기; 생활정보/관계맺기; 직업/결혼; 직업/관계맺기; 건강/결혼; 건강/관계맺기; 우리들의 이야기/결혼; 기타/데이트하기; 요리/결혼; 교육/결혼; 교육/관계맺기; 우리들의 이야기/관계맺기; 안전/연애; 요리/관계맺기; 부모교육 및 지원정책/데이트하기; 취미/데이트하기; 유튜브/데이트하기; 안전/결혼; 안전/관계맺기; 생활정보/데이트하기; 직업/데이트하기; 기타/연애; 건강/데이트하기; 우리들의 이야기/데이트하기
https://www.damoa.or.kr/main/cmf_video.php?no=1999,이성친구 이해하기(자립생활 안내책 결혼하기 편),결혼,한국지적발달장애인복지협회,부모교육 및 지원정책/연애; 기타/결혼; 취미/연애; 기타/관계맺기; 유튜브/연애; 기타/친구; 생활정보/연애; 직업/연애; 부모교육 및 지원정책/결혼; 부모교육 및 지원정책/관계맺기; 건강/연애; 부모교육 및 지원정책/친구; 취미/결혼; 취미/관계맺기; 교육/연애; 우리들의 이야기/연애; 생활정보/결혼; 요리/연애; 유튜브/결혼; 유튜브/관계맺기; 취미/친구; 생활정보/관계맺기; 직업/결혼; 직업/관계맺기; 유튜브/친구; 건강/결혼; 건강/관계맺기; 생활정보/친구; 우리들의 이야기/결혼; 직업/친구; 요리/결혼; 건강/친구; 교육/결혼; 교육/관계맺기; 우리들의 이야기/관계맺기; 우리들의 이야기/친구; 안전/연애; 요리/관계맺기; 교육/친구; 요리/친구; 안전/결혼; 안전/관계맺기; 기타/연애; 안전/친구
https://www.damoa.or.kr/main/cmf_video.php?no=175,연애할까요? 발달장애인 커플의 연애 이야기,,시청자미디어재단,부모교육 및 지원정책/연애; 기타/결혼; 취미/연애; 유튜브/연애; 생활정보/연애; 직업/연애; 부모교육 및 지원정책/결혼; 건강/연애; 취미/결혼; 우리들의 이야기/연애; 교육/연애; 생활정보/결혼; 요리/연애; 유튜브/결혼; 직업/결혼; 건강/결혼; 우리들의 이야기/결혼; 요리/결혼; 교육/결혼; 안전/연애; 안전/결혼; 기타/연애
https://www.damoa.or.kr/main/cmf_video.php?no=3843,발달장애 남녀 백년가약…단계적 탈시설 첫 걸음 / KBS 2022.06.14.,,유튜브 채널 KBS뉴스강릉,교육/커피; 요리/커피; 기타/결혼; 안전/커피; 부모교육 및 지원정책/결혼; 취미/결혼; 생활정보/결혼; 유튜브/결혼; 직업/결혼; 건강/결혼; 기타/커피; 우리들의 이야기/결혼; 요리/결혼; 교육/결혼; 부모교육 및 지원정책/커피; 취미/커피; 유튜브/커피; 안전/결혼; 직업/커피; 건강/커피; 우리들의 이야기/커피
https://www.damoa.or.kr/main/cmf_video.php?no=2917,발달장애 남녀 백년가약…단계적 탈시설 첫 걸음 / KBS 2022.06.15.,,유튜브 채널 KBS News,교육/커피; 요리/커피; 기타/결혼; 안전/커피; 부모교육 및 지원정책/결혼; 취미/결혼; 생활정보/결혼; 유튜브/결혼; 직업/결혼; 건강/결혼; 기타/커피; 우리들의 이야기/결혼; 요리/결혼; 교육/결혼; 부모교육 및 지원정책/커피; 취미/커피; 유튜브/커피; 안전/결혼; 직업/커피; 건강/커피; 우리들의 이야기/커피
https://www.damoa.or.kr/main/cmf_video.php?no=2896,"발달장애, 저는 장애가 적성에 맞아요?! 소소한 소통을 통해 쉬운 정보를 만드는 백정연 대표의 비범했던 결혼썰 | 알TV 장애인 토크쇼[썰준]EP.24",결혼,유튜브 채널 알TV,건강/결혼; 부모교육 및 지원정책/결혼; 우리들의 이야기/결혼; 요리/결혼; 교육/결혼; 안전/결혼; 취미/결혼; 기타/결혼; 생활정보/결혼; 유튜브/결혼; 직업/결혼
https://www.damoa.or.kr/main/cmf_video.php?no=2692,학교폭력 대처하기(알다2019),,유튜브 채널 사단법인 전국장애인부모연대,기타/관계맺기; 기타/친구; 부모교육 및 지원정책/관계맺기; 부모교육 및 지원정책/친구; 취미/관계맺기; 유튜브/관계맺기; 취미/친구; 생활정보/관계맺기; 직업/관계맺기; 유튜브/친구; 건강/관계맺기; 생활정보/친구; 직업/친구; 건강/친구; 우리들의 이야기/관계맺기; 교육/관계맺기; 우리들의 이야기/친구; 요리/관계맺기; 교육/친구; 요리/친구; 안전/관계맺기; 안전/친구
https://www.damoa.or.kr/main/cmf_video.php?no=2596,직업·취업정보 직업지원센터 소개 영상,,복지TV,기타/관계맺기; 안전/병원; 부모교육 및 지원정책/관계맺기; 취미/관계맺기; 유튜브/관계맺기; 기타/병원; 생활정보/관계맺기; 직업/관계맺기; 건강/관계맺기; 부모교육 및 지원정책/병원; 우리들의 이야기/관계맺기; 교육/관계맺기; 요리/관계맺기; 취미/병원; 유튜브/병원; 직업/병원; 건강/병원; 우리들의 이야기/병원; 안전/관계맺기; 요리/병원; 교육/병원
https://www.damoa.or.kr/main/cmf_video.php?no=2584,장애인과 비장애인 모두를 위한 '밀리그램 디자인' [1부],,복지,건강/관계맺기; 부모교육 및 지원정책/관계맺기; 우리들의 이야기/관계맺기; 교육/관계맺기; 안전/관계맺기; 취미/관계맺기; 요리/관계맺기; 기타/관계맺기; 유튜브/관계맺기; 생활정보/관계맺기; 직업/관계맺기
https://www.damoa.or.kr/main/cmf_video.php?no=2583,장애인과 비장애인 모두를 위한 '밀리그램 디자인' [2부],,복지TV,건강/관계맺기; 부모교육 및 지원정책/관계맺기; 우리들의 이야기/관계맺기; 교육/관계맺기; 안전/관계맺기; 취미/관계맺기; 요리/관계맺기; 기타/관계맺기; 유튜브/관계맺기; 생활정보/관계맺기; 직업/관계맺기
https://www.damoa.or.kr/main/cmf_video.php?no=2220,함께하는 세상 '한국·태국 국제장애인문화교류 엑스포',,복지TV,건강/관계맺기; 부모교육 및 지원정책/관계맺기; 우리들의 이야기/관계맺기; 교육/관계맺기; 안전/관계맺기; 취미/관계맺기; 요리/관계맺기; 기타/관계맺기; 유튜브/관계맺기; 생활정보/관계맺기; 직업/관계맺기
https://www.damoa.or.kr/main/cmf_video.php?no=2198,향기로운 사람들의 공간 '누야하우스' 이야기(휴먼다큐 희망人),,복지TV,건강/관계맺기; 부모교육 및 지원정책/관계맺기; 우리들의 이야기/관계맺기; 교육/관계맺기; 안전/관계맺기; 취미/관계맺기; 요리/관계맺기; 기타/관계맺기; 유튜브/관계맺기; 생활정보/관계맺기; 직업/관계맺기
https://www.damoa.or.kr/main/cmf_video.php?no=1978,발달장애인 어머니들의 이야기 예고편 영상,,사단법인 전국장애인부모연대,건강/관계맺기; 부모교육 및 지원정책/관계맺기; 우리들의 이야기/관계맺기; 교육/관계맺기; 안전/관계맺기; 취미/관계맺기; 요리/관계맺기; 기타/관계맺기; 유튜브/관계맺기; 생활정보/관계맺기; 직업/관계맺기
https://www.damoa.or.kr/main/cmf_video.php?no=95,모두가 원하는 친절한 친구,,EBS,기타/관계맺기; 기타/친구; 부모교육 및 지원정책/관계맺기; 부모교육 및 지원정책/친구; 취미/관계맺기; 유튜브/관계맺기; 취미/친구; 생활정보/관계맺기; 직업/관계맺기; 유튜브/친구; 건강/관계맺기; 생활정보/친구; 직업/친구; 건강/친구; 우리들의 이야기/관계맺기; 교육/관계맺기; 우리들의 이야기/친구; 요리/관계맺기; 교육/친구; 요리/친구; 안전/관계맺기; 안전/친구
https://www.damoa.or.kr/main/cmf_video.php?no=94,즐겁게 기다리는 방법,,EBS,건강/관계맺기; 부모교육 및 지원정책/관계맺기; 우리들의 이야기/관계맺기; 교육/관계맺기; 안전/관계맺기; 취미/관계맺기; 요리/관계맺기; 기타/관계맺기; 유튜브/관계맺기; 생활정보/관계맺기; 직업/관계맺기
https://www.damoa.or.kr/main/cmf_video.php?no=93,함께 즐겁게 공을 가지고 놀아요,,EBS,건강/관계맺기; 부모교육 및 지원정책/관계맺기; 우리들의 이야기/관계맺기; 교육/관계맺기; 안전/관계맺기; 취미/관계맺기; 요리/관계맺기; 기타/관계맺기; 유튜브/관계맺기; 생활정보/관계맺기; 직업/관계맺기
https://www.damoa.or.kr/main/cmf_video.php?no=78,친구들과 사이좋게 지내는 방법,,EBS,기타/관계맺기; 기타/친구; 부모교육 및 지원정책/관계맺기; 부모교육 및 지원정책/친구; 취미/관계맺기; 유튜브/관계맺기; 취미/친구; 생활정보/관계맺기; 직업/관계맺기; 유튜브/친구; 건강/관계맺기; 생활정보/친구; 직업/친구; 건강/친구; 우리들의 이야기/관계맺기; 교육/관계맺기; 우리들의 이야기/친구; 요리/관계맺기; 교육/친구; 요리/친구; 안전/관계맺기; 안전/친구
https://www.damoa.or.kr/main/cmf_video.php?no=74,공원에서 친구랑 신나게 놀기,,EBS,기타/관계맺기; 기타/친구; 부모교육 및 지원정책/관계맺기; 부모교육 및 지원정책/친구; 취미/관계맺기; 유튜브/관계맺기; 취미/친구; 생활정보/관계맺기; 직업/관계맺기; 유튜브/친구; 건강/관계맺기; 생활정보/친구; 직업/친구; 건강/친구; 우리들의 이야기/관계맺기; 교육/관계맺기; 우리들의 이야기/친구; 요리/관계맺기; 교육/친구; 요리/친구; 안전/관계맺기; 안전/친구
https://www.damoa.or.kr/main/cmf_video.php?no=30,사이좋은 친구가 되는 비결,,EBS,기타/교육정보; 기타/관계맺기; 기타/친구; 부모교육 및 지원정책/교육정보; 부모교육 및 지원정책/관계맺기; 취미/교육정보; 부모교육 및 지원정책/친구; 취미/관계맺기; 유튜브/교육정보; 유튜브/관계맺기; 취미/친구; 직업/교육정보; 생활정보/관계맺기; 건강/교육정보; 직업/관계맺기; 유튜브/친구; 건강/관계맺기; 생활정보/친구; 직업/친구; 교육/교육정보; 우리들의 이야기/교육정보; 건강/친구; 요리/교육정보; 교육/관계맺기; 우리들의 이야기/관계맺기; 우리들의 이야기/친구; 요리/관계맺기; 교육/친구; 요리/친구; 안전/교육정보; 안전/관계맺기; 안전/친구
https://www.damoa.or.kr/main/cmf_video.php?no=2061,발달장애가족들이 샌프란시스코 여행을 떠나요.,,유튜브 채널 미주중앙일보,건강/여행; 우리들의 이야기/여행; 교육/여행; 요리/여행; 기타/관계맺기; 기타/친구; 부모교육 및 지원정책/관계맺기; 안전/여행; 부모교육 및 지원정책/친구; 취미/관계맺기; 유튜브/관계맺기; 취미/친구; 생활정보/관계맺기; 직업/관계맺기; 유튜브/친구; 건강/관계맺기; 생활정보/친구; 직업/친구; 건강/친구; 우리들의 이야기/관계맺기; 교육/관계맺기; 우리들의 이야기/친구; 요리/관계맺기; 기타/여행; 교육/친구; 요리/친구; 부모교육 및 지원정책/여행; 취미/여행; 안전/관계맺기; 생활정보/여행; 유튜브/여행; 직업/여행; 안전/친구
https://www.damoa.or.kr/main/cmf_video.php?no=2044,"발달장애 치료, 반려동물과 함께해요.",,유튜브 채널 dgmbcnews,건강/관계맺기; 부모교육 및 지원정책/관계맺기; 우리들의 이야기/관계맺기; 교육/관계맺기; 안전/관계맺기; 취미/관계맺기; 요리/관계맺기; 기타/관계맺기; 유튜브/관계맺기; 생활정보/관계맺기; 직업/관계맺기
https://www.damoa.or.kr/main/cmf_video.php?no=2022,"부활의 김태원, 발달장애 아들 우현이와 소통을 시작합니다.",,유튜브 채널 TV CHOSUN,건강/관계맺기; 부모교육 및 지원정책/관계맺기; 우리들의 이야기/관계맺기; 교육/관계맺기; 안전/관계맺기; 취미/관계맺기; 요리/관계맺기; 기타/관계맺기; 유튜브/관계맺기; 생활정보/관계맺기; 직업/관계맺기
https://www.damoa.or.kr/main/cmf_video.php?no=1383,발달장애인과 관계맺기 의사소통지원 2,관계맺기,유튜브 채널 참새TV,건강/관계맺기; 부모교육 및 지원정책/관계맺기; 우리들의 이야기/관계맺기; 교육/관계맺기; 안전/관계맺기; 취미/관계맺기; 요리/관계맺기; 기타/관계맺기; 유튜브/관계맺기; 생활정보/관계맺기; 직업/관계맺기
https://www.damoa.or.kr/main/cmf_video.php?no=4420,협력적 학대피해 장애아동 지원체계 구축을 위한 국회토론회,,유튜브 채널 세이브더칠드런,기타/국회의원; 생활정보/국회의원; 유튜브/국회의원; 직업/국회의원; 건강/국회의원; 부모교육 및 지원정책/국회의원; 우리들의 이야기/국회의원; 교육/국회의원; 안전/국회의원; 취미/국회의원; 요리/국회의원
https://www.damoa.or.kr/main/cmf_video.php?no=3866,[국제장애인문화교류협회]발달장애예술교육의 발전 방향을 위한 토론회,,유튜브 채널 국제장애인문화교류협회,기타/국회의원; 생활정보/국회의원; 유튜브/국회의원; 직업/국회의원; 건강/국회의원; 부모교육 및 지원정책/국회의원; 우리들의 이야기/국회의원; 교육/국회의원; 안전/국회의원; 취미/국회의원; 요리/국회의원
https://www.damoa.or.kr/main/cmf_video.php?no=4072,무궁화 꽃이 피었습니다 (2~5세),꽃,EBS,교육/꽃; 안전/꽃; 취미/꽃; 요리/꽃; 기타/꽃; 유튜브/꽃; 생활정보/꽃; 직업/꽃; 건강/꽃; 부모교육 및 지원정책/꽃; 우리들의 이야기/꽃
https://www.damoa.or.kr/main/cmf_video.php?no=4010,꽃들처럼 (2~5세),꽃,EBS,교육/꽃; 안전/꽃; 취미/꽃; 요리/꽃; 기타/꽃; 유튜브/꽃; 생활정보/꽃; 직업/꽃; 건강/꽃; 부모교육 및 지원정책/꽃; 우리들의 이야기/꽃
https://www.damoa.or.kr/main/cmf_video.php?no=2703,같이 꽃꽂이를 배워보자(같이 해요 시리즈 6편),꽃,유튜브 채널 사단법인 전국장애인부모연대,교육/꽃; 안전/꽃; 취미/꽃; 요리/꽃; 기타/꽃; 유튜브/꽃; 생활정보/꽃; 직업/꽃; 건강/꽃; 부모교육 및 지원정책/꽃; 우리들의 이야기/꽃
https://www.damoa.or.kr/main/cmf_video.php?no=2527,꽃을 위해 일하는 재웅씨와 원예교육 배우기!,꽃,EBS,교육/꽃; 안전/꽃; 취미/꽃; 요리/꽃; 기타/꽃; 유튜브/꽃; 생활정보/꽃; 직업/꽃; 건강/꽃; 부모교육 및 지원정책/꽃; 우리들의 이야기/꽃
