,제목,기관,키워드,카테고리목록,요약,링크
0,[2024 발달장애인용 신규 맞춤형 콘텐츠] 말과 몸으로 하는 감정 표현,,"요리, 교육, 안전, 기타, 생활정보, 유튜브, 직업, 건강, 부모교육 및 지원정책, 우리들의 이야기, 취미, 발달장애인, 맞춤형 콘텐츠, 감정 표현",요리/감정; 교육/감정; 안전/감정; 기타/감정; 생활정보/감정; 유튜브/감정; 직업/감정; 건강/감정; 부모교육 및 지원정책/감정; 우리들의 이야기/감정; 취미/감정,,https://www.damoa.or.kr/main/cmf_video.php?no=4524
1,좋아하는 걸 말해 보아요 달콤한 초콜렛 난 정말 좋아~♬,EBS,"요리, 감정, 교육, 안전, 기타, 생활정보, 유튜브, 직업, 건강, 부모교육, 지원정책, 우리들의 이야기, 취미, 초콜렛, 좋아하는 것",요리/감정; 교육/감정; 안전/감정; 기타/감정; 생활정보/감정; 유튜브/감정; 직업/감정; 건강/감정; 부모교육 및 지원정책/감정; 우리들의 이야기/감정; 취미/감정,,https://www.damoa.or.kr/main/cmf_video.php?no=2730
2,눈물 뚝! 울지 말고 말해요,EBS,"요리, 교육, 안전, 기타, 생활정보, 유튜브, 직업, 건강, 부모교육 및 지원정책, 우리들의 이야기, 취미, 감정, 눈물, 울지 말고, 말해요",요리/감정; 교육/감정; 안전/감정; 기타/감정; 생활정보/감정; 유튜브/감정; 직업/감정; 건강/감정; 부모교육 및 지원정책/감정; 우리들의 이야기/감정; 취미/감정,,https://www.damoa.or.kr/main/cmf_video.php?no=2728
3,"힘이 나는 특별한 주문, 나는 내가 좋아요!",EBS,"요리, 감정, 교육, 안전, 기타, 생활정보, 유튜브, 직업, 건강, 부모교육, 지원정책, 우리들의 이야기, 취미, 힘, 특별한, 주문, 좋아요",요리/감정; 교육/감정; 안전/감정; 기타/감정; 생활정보/감정; 유튜브/감정; 직업/감정; 건강/감정; 부모교육 및 지원정책/감정; 우리들의 이야기/감정; 취미/감정,,https://www.damoa.or.kr/main/cmf_video.php?no=2727
4,직업·취업정보 귀금속 공예사 이야기,복지TV,"직업, 귀금속, 공예사, 요리, 교육, 안전, 기타, 생활정보, 유튜브, 건강, 부모교육, 지원정책, 우리들의 이야기, 취미",요리/감정; 교육/감정; 안전/감정; 기타/감정; 생활정보/감정; 유튜브/감정; 직업/감정; 건강/감정; 부모교육 및 지원정책/감정; 우리들의 이야기/감정; 취미/감정,,https://www.damoa.or.kr/main/cmf_video.php?no=2594
5,즐겁게 음악으로 표현해요,EBS,"요리, 감정, 교육, 안전, 기타, 생활정보, 유튜브, 직업, 건강, 부모교육, 지원정책, 우리들의 이야기, 취미, 음악, 표현",요리/감정; 교육/감정; 안전/감정; 기타/감정; 생활정보/감정; 유튜브/감정; 직업/감정; 건강/감정; 부모교육 및 지원정책/감정; 우리들의 이야기/감정; 취미/감정,,https://www.damoa.or.kr/main/cmf_video.php?no=2522
6,너무 너무 화날 때 이런 음악 어때 ?,EBS,"요리, 교육, 안전, 기타, 생활정보, 유튜브, 직업, 건강, 부모교육 및 지원정책, 우리들의 이야기, 취미, 화남, 음악",요리/감정; 교육/감정; 안전/감정; 기타/감정; 생활정보/감정; 유튜브/감정; 직업/감정; 건강/감정; 부모교육 및 지원정책/감정; 우리들의 이야기/감정; 취미/감정,,https://www.damoa.or.kr/main/cmf_video.php?no=2521
7,귀여운 나만의 이모티콘 만들기,EBS,"귀여운, 이모티콘, 요리, 교육, 안전, 기타, 생활정보, 유튜브, 직업, 건강, 부모교육, 지원정책, 우리들의 이야기, 취미, 감정",요리/감정; 교육/감정; 안전/감정; 기타/감정; 생활정보/감정; 유튜브/감정; 직업/감정; 건강/감정; 부모교육 및 지원정책/감정; 우리들의 이야기/감정; 취미/감정,,https://www.damoa.or.kr/main/cmf_video.php?no=2519
8,"으아아 화가 날 땐, 이렇게!",EBS,"요리, 감정, 교육, 안전, 기타, 생활정보, 유튜브, 직업, 건강, 부모교육, 지원정책, 우리들의 이야기, 취미, 화, 스트레스, 해결방법",요리/감정; 교육/감정; 안전/감정; 기타/감정; 생활정보/감정; 유튜브/감정; 직업/감정; 건강/감정; 부모교육 및 지원정책/감정; 우리들의 이야기/감정; 취미/감정,,https://www.damoa.or.kr/main/cmf_video.php?no=2511
9,지금 내 마음은 무슨 색일까 감정을 이해하고 표현하는 법,시청자미디어재단,"요리, 교육, 안전, 기타, 생활정보, 유튜브, 직업, 건강, 부모교육 및 지원정책, 우리들의 이야기, 취미, 감정, 마음, 색, 이해, 표현",요리/감정; 교육/감정; 안전/감정; 기타/감정; 생활정보/감정; 유튜브/감정; 직업/감정; 건강/감정; 부모교육 및 지원정책/감정; 우리들의 이야기/감정; 취미/감정,,https://www.damoa.or.kr/main/cmf_video.php?no=168
